,BVP,timestamp
1,-0.0,1637342622.0
2,-0.0,1637342622.015625
3,-0.0,1637342622.03125
4,-0.0,1637342622.046875
5,-0.0,1637342622.0625
6,-0.0,1637342622.078125
7,-0.0,1637342622.09375
8,-0.0,1637342622.109375
9,-0.0,1637342622.125
10,-0.0,1637342622.140625
11,0.0,1637342622.15625
12,0.01,1637342622.171875
13,0.01,1637342622.1875
14,-0.0,1637342622.203125
15,-0.03,1637342622.21875
16,-0.05,1637342622.234375
17,-0.05,1637342622.25
18,0.0,1637342622.265625
19,0.13,1637342622.28125
20,0.36,1637342622.296875
21,0.66,1637342622.3125
22,1.01,1637342622.328125
23,1.37,1637342622.34375
24,1.72,1637342622.359375
25,2.06,1637342622.375
26,2.4,1637342622.390625
27,2.79,1637342622.40625
28,3.24,1637342622.421875
29,3.8,1637342622.4375
30,4.42,1637342622.453125
31,5.06,1637342622.46875
32,5.66,1637342622.484375
33,6.2,1637342622.5
34,6.68,1637342622.515625
35,7.15,1637342622.53125
36,7.68,1637342622.546875
37,8.31,1637342622.5625
38,9.14,1637342622.578125
39,10.09,1637342622.59375
40,11.04,1637342622.609375
41,11.88,1637342622.625
42,12.56,1637342622.640625
43,13.14,1637342622.65625
44,13.76,1637342622.671875
45,14.65,1637342622.6875
46,15.96,1637342622.703125
47,17.91,1637342622.71875
48,20.32,1637342622.734375
49,22.9,1637342622.75
50,25.38,1637342622.765625
51,27.58,1637342622.78125
52,29.57,1637342622.796875
53,31.68,1637342622.8125
54,34.32,1637342622.828125
55,37.81,1637342622.84375
56,42.54,1637342622.859375
57,48.15,1637342622.875
58,54.1,1637342622.890625
59,59.83,1637342622.90625
60,64.97,1637342622.921875
61,69.58,1637342622.9375
62,74.14,1637342622.953125
63,79.34,1637342622.96875
64,85.71,1637342622.984375
65,93.76,1637342623.0
66,103.0,1637342623.015625
67,112.62,1637342623.03125
68,121.73,1637342623.046875
69,129.77,1637342623.0625
70,136.75,1637342623.078125
71,143.3,1637342623.09375
72,150.75,1637342623.109375
73,157.77,1637342623.125
74,166.64,1637342623.140625
75,177.95,1637342623.15625
76,191.79,1637342623.171875
77,206.97,1637342623.1875
78,220.57,1637342623.203125
79,228.25,1637342623.21875
80,225.36,1637342623.234375
81,208.53,1637342623.25
82,176.87,1637342623.265625
83,132.76,1637342623.28125
84,80.05,1637342623.296875
85,23.07,1637342623.3125
86,-34.94,1637342623.328125
87,-92.44,1637342623.34375
88,-149.16,1637342623.359375
89,-205.23,1637342623.375
90,-260.37,1637342623.390625
91,-313.74,1637342623.40625
92,-363.87,1637342623.421875
93,-409.83,1637342623.4375
94,-450.91,1637342623.453125
95,-486.5,1637342623.46875
96,-515.74,1637342623.484375
97,-537.23,1637342623.5
98,-549.22,1637342623.515625
99,-549.96,1637342623.53125
100,-538.37,1637342623.546875
101,-514.21,1637342623.5625
102,-478.68,1637342623.578125
103,-433.88,1637342623.59375
104,-382.45,1637342623.609375
105,-327.02,1637342623.625
106,-269.83,1637342623.640625
107,-212.61,1637342623.65625
108,-156.62,1637342623.671875
109,-102.89,1637342623.6875
110,-52.29,1637342623.703125
111,-5.79,1637342623.71875
112,35.73,1637342623.734375
113,71.62,1637342623.75
114,101.59,1637342623.765625
115,125.79,1637342623.78125
116,144.72,1637342623.796875
117,159.1,1637342623.8125
118,169.61,1637342623.828125
119,176.89,1637342623.84375
120,181.33,1637342623.859375
121,183.22,1637342623.875
122,182.78,1637342623.890625
123,180.29,1637342623.90625
124,176.09,1637342623.921875
125,170.59,1637342623.9375
126,164.19,1637342623.953125
127,157.26,1637342623.96875
128,150.02,1637342623.984375
129,142.62,1637342624.0
130,135.14,1637342624.015625
131,127.61,1637342624.03125
132,120.08,1637342624.046875
133,112.61,1637342624.0625
134,105.28,1637342624.078125
135,98.15,1637342624.09375
136,91.28,1637342624.109375
137,84.69,1637342624.125
138,78.41,1637342624.140625
139,72.45,1637342624.15625
140,66.81,1637342624.171875
141,61.51,1637342624.1875
142,56.55,1637342624.203125
143,51.96,1637342624.21875
144,47.73,1637342624.234375
145,43.85,1637342624.25
146,40.34,1637342624.265625
147,37.16,1637342624.28125
148,34.34,1637342624.296875
149,31.85,1637342624.3125
150,29.69,1637342624.328125
151,27.87,1637342624.34375
152,26.37,1637342624.359375
153,25.19,1637342624.375
154,24.32,1637342624.390625
155,23.75,1637342624.40625
156,23.46,1637342624.421875
157,23.43,1637342624.4375
158,23.67,1637342624.453125
159,24.17,1637342624.46875
160,24.89,1637342624.484375
161,25.84,1637342624.5
162,26.98,1637342624.515625
163,28.26,1637342624.53125
164,29.63,1637342624.546875
165,30.98,1637342624.5625
166,32.2,1637342624.578125
167,33.15,1637342624.59375
168,33.66,1637342624.609375
169,33.58,1637342624.625
170,32.76,1637342624.640625
171,31.11,1637342624.65625
172,28.58,1637342624.671875
173,25.19,1637342624.6875
174,21.01,1637342624.703125
175,16.17,1637342624.71875
176,10.89,1637342624.734375
177,5.41,1637342624.75
178,-0.01,1637342624.765625
179,-5.11,1637342624.78125
180,-9.65,1637342624.796875
181,-13.44,1637342624.8125
182,-16.36,1637342624.828125
183,-18.34,1637342624.84375
184,-19.4,1637342624.859375
185,-19.59,1637342624.875
186,-19.05,1637342624.890625
187,-17.93,1637342624.90625
188,-16.38,1637342624.921875
189,-14.59,1637342624.9375
