timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1637666362.9585927,1637666378.2649457,Anys i Anys Per Molts Anys (Catalan),Escola Catalana,spotify:track:2ga5IA8cHYGLbbqWRUEd3U,musica infantil catala,0.601,0.811,7,-4.954,0,0.0486,0.334,0.0304,0.0693,0.841,144.358,4
1637666393.9352953,1637666409.1828208,Rode Variations Op. 23: Ii. Variation I: Stesso tempo,Carl Czerny,spotify:track:2ETOLwqtOCyOVSpcmdS1CL,early romantic era,0.414,0.215,3,-17.593,1,0.0473,0.989,0.922,0.149,0.657,77.496,5
1637666424.6326442,1637666439.7921748,Heart Full of Soul - 2015 Remaster,The Yardbirds,spotify:track:3HlbrnCBdrJ1NObHLMXSZh,british soul,0.492,0.666,9,-9.743,0,0.0351,0.231,5.69e-05,0.0469,0.699,140.829,4
1637666455.1215775,1637666470.3462713,Ansias,Flou,spotify:track:6U3NjTbEVlgfQjFYrYkyZe,paraguayan rock,0.545,0.782,5,-5.996,1,0.0427,0.000719,0.00392,0.091,0.458,88.014,4
1637666485.7374725,1637666500.9584346,I Love The Music - Manuel De La Mare & Alex Kenji Remix,Seamus Haji,spotify:track:798omHT1127zeDwRysJ1zW,funky breaks,0.779,0.96,9,-6.845,1,0.103,0.00237,0.822,0.0412,0.756,127.997,4
1637666516.294275,1637666531.460583,Truly & Really,DJ Vadim,spotify:track:68OV97btvOuBdcIjvSWk4D,scratch,0.883,0.703,10,-6.726,0,0.279,0.661,7.73e-05,0.236,0.756,93.104,4
1637666546.8578415,1637666561.9994206,INQB8TR - Alt Mix,Bark Psychosis,spotify:track:3ntATHfnuCv9nsfTAXDDjZ,drone psych,0.35,0.497,2,-12.671,1,0.0576,0.18,0.84,0.217,0.145,101.199,4
1637666577.4362328,1637666592.6890557,"Musical Offering, BWV 1079: 4f. Fuga canonica in Epidiapente",Johann Sebastian Bach,spotify:track:3G2mWEKR1Upjc0fEJ4DT0K,early music,0.452,0.109,11,-21.537,0,0.0419,0.93,7.09e-06,0.0917,0.486,77.906,4
1637666608.768381,1637666623.9872737,Unknown,Unknown,spotify:track:4stQ6zfPzdEhGpBGVRharm,bernu dziesmas,0.718,0.31,8,-9.959,1,0.0333,0.912,0,0.0619,0.84,108.39,4
1637666639.2936301,1637666654.50936,Keep It to Myself - Crystal Rock & Marc Kiss Extended Mix,Jovani,spotify:track:2bEBhl3GnX5gtvvaMjfYHv,lithuanian rock,0.654,0.785,5,-4.109,0,0.0633,0.00406,0.00112,0.06,0.6,126.069,4
1637666669.755675,1637666684.974466,"Ok, All Right",David Archuleta,spotify:track:0Q0rkD97ywIUK6xhbXEUX5,lds,0.883,0.728,0,-6.079,1,0.0506,0.228,0,0.173,0.489,104.037,4
1637666700.2984443,1637666715.439221,Ural-Tanz,Isba Balalaika Ensemble,spotify:track:3ewiffjkHvkgzhzuZoxNQ4,balalaika,0.591,0.228,4,-19.286,1,0.0494,0.934,0.841,0.152,0.722,123.079,4
1637666730.7454019,1637666745.9458475,Fine Wine (feat. King Promise & Joeboy),R2Bees,spotify:track:3E3WIVDBt4rX4N2kRrwSah,hiplife,0.766,0.741,8,-3.077,1,0.172,0.362,1.15e-05,0.145,0.598,99.997,4
1637666761.2047672,1637666776.422202,The Ruse Of Empty City: Aria A,Ma Lianliang,spotify:track:7cWPrjUmEJEGHQnaDnjS7s,chinese opera,0.588,0.105,8,-19.94,1,0.153,0.985,0.22,0.342,0.765,114.757,3
1637666791.7450798,1637666806.9772978,Uyan,Yekta Hakan Polat,spotify:track:6Nbm5D5y3TMo41eHXdUu6M,mevlevi sufi,0.463,0.142,7,-11.158,0,0.0385,0.951,3.75e-05,0.139,0.732,109.707,3
1637666822.3686225,1637666837.580406,"Vocalise, Op.34, No.14",Sergei Rachmaninoff,spotify:track:77ukAaQhLrlZAgYXDIE3Hm,uk dub,0.167,0.0888,1,-21.244,0,0.0403,0.994,0.941,0.0984,0.0473,91.258,1
1637666852.9352515,1637666868.0891318,"It's a Man's Man's, Man's World",Sékouba Bambino,spotify:track:7FdMJOWHvJFKvixNzhuHY3,mbalax,0.655,0.449,2,-8.181,0,0.0392,0.321,0,0.346,0.519,148.996,3
1637666883.457495,1637666898.6765244,17 e 700 (Dezessete e Setecentos),Luiz Gonzaga,spotify:track:1BsbFSFMe0zxwIezIlIxm0,baiao,0.726,0.827,2,-8.384,1,0.0933,0.289,0,0.198,0.936,92.091,4
1637666913.906152,1637666929.1075008,Always Will Hope (Hey Jude) - Remastered,Sinn Sisamouth,spotify:track:7yUg0FxKepKipBxh3DJb4E,cambodian rock,0.345,0.745,10,-6.218,1,0.0621,0.152,0.00905,0.0521,0.715,81.67,4
1637666944.5941985,1637666959.9024086,Our Hope Goes with You,Yoko Shimomura,spotify:track:7BhApJQYaMS17YcqphXhhv,chip hop,0.198,0.14,11,-16.659,0,0.0361,0.891,0.931,0.107,0.066,81.199,4
1637666975.3849454,1637666990.624318,Solito en la noche,Luis Bordon,spotify:track:5fopC7W6zvFZrSk4T3KILM,arpa paraguaya,0.628,0.718,9,-9.687,1,0.0337,0.519,0.882,0.163,0.872,147.922,3
1637667006.0217733,1637667021.179037,Trauermusik: IV. Choral (Arr. for Saxophone Quartet and Cello),Paul Hindemith,spotify:track:4rGSaLGdWo0sZf1iU16ohh,classical saxophone quartet,0.198,0.0407,11,-22.075,0,0.0446,0.99,0.938,0.103,0.0365,69.919,4
1637667036.7699528,1637667051.9716105,The Snake & the Pit,Triddana,spotify:track:1av3rCVb0YeVBuTP8EP5IZ,celtic metal,0.502,0.929,2,-4.741,0,0.0511,0.000625,2.43e-06,0.324,0.617,110.846,3
1637667067.3597324,1637667082.5684545,The Anthem - Unreleased Extended Version,Onra,spotify:track:6BBMTq9i28Av9sec7BDalt,wonky,0.768,0.943,6,-0.841,1,0.175,0.465,0.00173,0.239,0.755,93.844,4
1637667097.8887649,1637667113.0619388,United '94,Psychic TV,spotify:track:0xrqvdbNkZ3099EwZOFqtz,british industrial,0.581,0.819,10,-16.824,0,0.0499,0.00555,0.747,0.911,0.773,134.058,4
1637667128.3437133,1637667143.4826565,Livin It Up (with Post Malone & A$AP Rocky),Young Thug,spotify:track:7zjEyeBsaw9gV0jofJLfOM,rap,0.767,0.313,7,-12.059,1,0.0798,0.838,0,0.105,0.765,82.582,4
1637667158.8234458,1637667174.0241022,"String Quartet, Op. 11: II. Molto adagio",Samuel Barber,spotify:track:1CA5IRs7tPWlrfozSL0MKE,modern string quartet,0.1,0.039,10,-26.611,0,0.0469,0.923,0.876,0.103,0.0322,89.603,3
1637667189.3479784,1637667204.51221,The Sad Punk - Live in the USA 2014,Pixies,spotify:track:2EJoIFUnoML6MravHObxsg,boston punk,0.119,0.952,9,-5.569,1,0.113,7.14e-05,0.000619,0.458,0.336,174.771,4
1637667219.9549007,1637667235.336458,-Out,Laurel Halo,spotify:track:5qwXedfS62l4G8X0NoIDti,mandible,0.38,0.186,2,-24.696,1,0.0534,0.878,0.914,0.109,0.0619,67.636,3
1637667250.6659129,1637667265.87173,"First Encounter - From ""Arrival"" Soundtrack",Jóhann Jóhannsson,spotify:track:6nI1Y2L0cNjXSXD9M34nOj,icelandic classical,0.186,0.00432,7,-20.811,1,0.0366,0.926,0.963,0.0952,0.0286,57.23,4
1637667281.1781325,1637667296.477278,Arms Of Surrender,Ana Criado,spotify:track:2Uuy0I268yoKXDpiMEQOzF,vocal trance,0.539,0.873,10,-6.969,1,0.048,0.00106,0.0396,0.705,0.178,137.996,4
1637667311.803839,1637667326.9730785,Vengeance on the World (from FFVII 'One-Winged Angel'),Nobuo Uematsu,spotify:track:1xc5gKFxeeELMJJLoAzTpG,j core,0.624,0.654,10,-7.749,1,0.0403,0.737,0.00581,0.302,0.339,122.166,4
1637667342.2321916,1637667357.4483485,Lluvia Y Jardin,Algodon,spotify:track:5ekhRjjCjNm7ECKpJTVtd7,cumbia salvadorena,0.648,0.475,0,-11.919,1,0.028,0.00583,0,0.16,0.411,122.224,4
1637667372.7776952,1637667387.9894102,You're Taking up Another Man's Place,Aretha Franklin,spotify:track:66ARi37V7JiyDELJQzMZUi,memphis blues,0.494,0.282,8,-16.521,1,0.0385,0.835,0.0276,0.0913,0.363,132.757,3
1637667403.328241,1637667418.536475,Unknown,Ros Serey Sothea,spotify:track:08fpMPWzJ3jF0rTgqvq20L,khmer,0.453,0.869,7,-3.93,1,0.0429,0.57,3.21e-05,0.12,0.871,132.474,4
1637667433.81556,1637667449.0324838,The Invention Of Flying,Innellea,spotify:track:0PyT3JsDIKzz5TvzSoAXJV,organic electronic,0.715,0.838,5,-7.356,0,0.0464,0.00589,0.849,0.0797,0.46,119.988,4
1637667464.564543,1637667479.7470808,Shut Up and Kiss Me,Mary Chapin Carpenter,spotify:track:2n0iU69BBUBxPrB1wRe3J3,rock chapin,0.777,0.535,9,-11.894,1,0.0422,0.537,7.3e-05,0.101,0.963,119.935,4
1637667495.202978,1637667510.4386897,Ovamo Dojdi Sokole,Folklorna Družina Vuga,spotify:track:3CRJqgB3OSkiVjsnuVmvmp,croatian folk,0.172,0.317,0,-7.285,1,0.032,0.416,8.84e-05,0.358,0.301,82.782,1
1637667526.1645448,1637667541.3279283,I Love a Mellow Groove,The Jimmy Castor Bunch,spotify:track:7y95wKTNqTZQEhBRU4z00B,rare groove,0.709,0.912,11,-9.317,0,0.0497,0.74,0.0021,0.0413,0.932,121.198,4
1637667556.7576642,1637667571.8991342,Je reviendrai à Montréal,Fabienne Thibeault,spotify:track:6qPkZb8NRC8MnM1a4B0kbW,chanson quebecois,0.322,0.37,4,-8.633,1,0.034,0.497,1.51e-06,0.0959,0.17,146.858,4
1637667587.266648,1637667602.4146852,Safe And Sound,Capital Cities,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,metropopolis,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
1637667617.6680336,1637667632.8744757,Across The Threshold,Flooting Grooves,spotify:track:5xJFGskY14rabg52niKPaM,didgeridoo,0.649,0.731,10,-11.693,0,0.0633,0.0123,0.629,0.57,0.638,173.994,4
1637667648.2283092,1637667663.5090082,Moons and Flowers,Session Victim,spotify:track:6w4nMaY54KZMBAP98YUbxl,soul flow,0.714,0.658,1,-14.134,1,0.0501,0.121,0.918,0.101,0.35,124.007,4
1637667678.9265106,1637667694.0862622,Livet är för kort,Runa,spotify:track:3nVmC93kNmoYjHVnZpXvXb,danspunk,0.473,0.67,0,-8.396,1,0.0409,0.0253,3.54e-06,0.109,0.493,165.079,4
1637667709.3722613,1637667724.5228877,Sunt O Forta,Jador,spotify:track:72aNwlbIDshKCA0k0DGYBz,manele,0.873,0.687,3,-4.754,0,0.13,0.478,0.000271,0.41,0.539,89.986,4
1637667739.7953534,1637667754.9466505,I Believe In You And Me,Stan Whitmire,spotify:track:0wCQBdzOcO443SQ3SWTtvG,christian uplift,0.444,0.125,5,-19.604,1,0.0415,0.99,0.922,0.122,0.105,125.696,4
1637667770.457643,1637667785.668407,"On A Plain - Live In Amsterdam, Netherlands/1991",Nirvana,spotify:track:5lRfANEu3xTnQjRDGXv8ib,grunge,0.315,0.939,7,-5.176,1,0.0412,1.71e-05,0.00686,0.885,0.494,134.722,4
1637667800.991926,1637667816.201569,Les trois cloches - Remasterisé en 2015,Édith Piaf,spotify:track:6QKW0PvUOSnqNGi4wOqCZE,vintage chanson,0.426,0.267,9,-8.032,1,0.033,0.933,0,0.0573,0.129,112.17,3
1637667831.7763586,1637667847.0115416,En Appezöller (Walzer),"Kapelle Echo vom Säntis, Hundwil",spotify:track:2SnRQQFnAYtZgq3BLxpYb9,appenzeller folk,0.463,0.457,7,-12.046,1,0.0376,0.309,0.000308,0.289,0.914,104.046,4
1637667863.2813728,1637667879.8939924,Unknown,Unknown,spotify:track:0FeyyYLAowEYP1g9yxcipz,arab folk,0.55,0.715,1,-11.164,1,0.063,0.374,3.5e-06,0.17,0.778,82.116,4
1637667897.5140433,1637667913.6148837,Springtime (Birds and Rain),Baltic Nature Sounds,spotify:track:0QOriHCerZiKVDkPTRmKjM,rai,0.427,0.608,10,-28.73,0,0.785,0.828,0.543,0.316,0.2,116.255,4
1637667930.3242748,1637667945.7846315,It's Afa' Like Its Father,Tam Reid,spotify:track:73m4ClQMtNHAGee4aeWwVU,bothy ballad,0.657,0.106,5,-13.277,1,0.46,0.971,0,0.128,0.474,91.993,3
1637667961.159867,1637667976.3636804,É Preciso Dizer Adeus,Edu Lobo,spotify:track:2yMWSLsGb0jcRsUNmWheKX,choro,0.415,0.306,2,-12.853,1,0.0287,0.898,6.2e-05,0.113,0.21,144.086,4
1637667991.6888425,1637668006.96244,Suite No. 2 for Jazz Orchestra: VII. Waltz (Arr. for Piano Quintet),Dmitri Shostakovich,spotify:track:22UENED4ci1i9gXzShMBLL,modern jazz piano,0.32,0.195,0,-17.947,0,0.0344,0.961,0.746,0.0805,0.689,106.614,4
1637668022.292752,1637668037.494678,Lord of All Unclean Spirits,Ondskapt,spotify:track:74mFdk0YOXXY0vEAkL38JG,chaotic black metal,0.18,0.988,5,-2.542,0,0.0829,0.000153,0.852,0.377,0.0372,115.807,4
1637668052.8014946,1637668068.022723,"Armenian Folk Dances: No. 3, Rangi",Nikoghayos Tigranian,spotify:track:3QESBt3XjJhFr3gAE6Mep2,caucasian folk,0.377,0.101,9,-24.451,0,0.0489,0.989,0.934,0.0918,0.29,73.745,5
1637668083.3494837,1637668098.801608,It's Real,Real Estate,spotify:track:1K9YlxsaqEDqTaGHOdPVRJ,dreamo,0.419,0.856,2,-5.443,1,0.0298,0.00928,0.0964,0.124,0.721,152.009,4
1637668114.3587165,1637668129.6094193,Ájmuoh / ilmmit (Worlds Within Us),Emil Kárlsen,spotify:track:4VN89OxVkwlK7i7fOggyJt,sami,0.498,0.6,5,-7.457,0,0.0304,0.373,7.11e-05,0.123,0.412,124.928,4
1637668144.9686868,1637668160.115935,O Verbo Flor,MPB4,spotify:track:7aKWlWSiaeILzTzUM7SwM1,nova mpb,0.433,0.317,4,-10.701,1,0.0283,0.742,2.52e-06,0.109,0.0996,74.065,4
1637668175.4267073,1637668190.587883,Unit Delta Plus,Ott,spotify:track:0tOXDHt7GmT7age3sRBL1k,psychill,0.467,0.618,0,-9.848,1,0.0319,0.0632,0.558,0.105,0.105,153.977,4
1637668206.263474,1637668221.4002402,if you make music .. stop it,dltzk,spotify:track:05Am6HJ1KDkb6J7V4YnS8T,bass music,0.513,0.802,8,-5.557,1,0.0368,0.0264,1.15e-06,0.103,0.297,179.084,4
1637668236.6799135,1637668251.8846214,El Oso Horimiguero,Los Caciques de San Luis,spotify:track:22dWrodxNiTmwVxFt8uFyn,huapango,0.585,0.544,5,-16.186,1,0.139,0.248,0.0475,0.182,0.697,191.85,3
1637668267.5738118,1637668282.7838771,Rock Reggae Surfe (Ao Vivo),Surf Sessions,spotify:track:7rk6W4KhlFNlmmDpAZc0z0,brazilian surf rock,0.61,0.863,6,-3.845,0,0.0286,0.02,1.43e-06,0.845,0.646,85.921,4
1637668298.3441446,1637668313.679758,Engkau Alasanku Hidup,Gloria Trio,spotify:track:6NhUqQzGAbQzmzLc4N62ji,batak,0.486,0.437,5,-6.884,1,0.0266,0.692,0.00448,0.151,0.147,125.967,4
1637668329.014175,1637668344.2177203,Ass Up - Martin Van Lectro Remix,DJane HouseKat,spotify:track:4sJSQR4xxiLsC2nHUifUqU,german house,0.795,0.852,11,-5.957,0,0.0512,0.0126,0.000194,0.253,0.505,124.996,4
1637668359.5673292,1637668374.7308352,Ciacona in D Min,Origen,spotify:track:4bPy3LWy1dzZazRhto7c3S,new age piano,0.367,0.417,2,-9.707,1,0.0303,0.187,0.0706,0.166,0.078,97.062,3
1637668390.505772,1637668405.7108047,Isolada,Cesária Evora,spotify:track:2r8u6HHloV4CAyVF9NJ5Ob,morna,0.723,0.496,4,-7.486,0,0.0311,0.719,2.81e-05,0.113,0.339,116.432,4
1637668421.1909263,1637668436.3449621,I'm Real,Crazy Cavan & The Rhythm Rockers,spotify:track:77JSm1ZvsO7kMyMsccqWp3,uk rockabilly,0.391,0.92,0,-9.305,1,0.119,0.394,0.0123,0.967,0.379,110.405,4
1637668451.6337285,1637668466.8619123,Break Up Hobo Neki,Sadat,spotify:track:11TRJlbUb5UB4RhlywtZvf,mahraganat,0.751,0.814,9,-3.827,1,0.108,0.193,0,0.186,0.852,110.011,4
1637668482.1054523,1637668497.3177128,On the Road Again,Mark Spoelstra,spotify:track:42PS0nwmpuWTtkjrk7UHB6,american folk revival,0.492,0.261,11,-16.619,1,0.0342,0.79,0.00202,0.0867,0.604,97.588,4
1637668512.579658,1637668527.7894502,Inside World,Oneohtrix Point Never,spotify:track:09Ozs5LvxXSx8DjqNBVsAy,fourth world,0.273,0.0931,9,-14.839,0,0.04,0.722,0.279,0.0931,0.0442,78.28,4
1637668543.1500864,1637668558.3647778,The Third Invasion - Official Masters of Hardcore Austria 2018 Anthem,Anime,spotify:track:6DuFU8JqC52tn6GYsvMDcu,dark hardcore,0.498,0.977,2,-2.873,1,0.435,0.0162,0.00591,0.068,0.07,173.998,4
1637668573.7040994,1637668588.8466177,April In Portugal,Les Baxter,spotify:track:42zvxXGuDpVeBXWlpvEMt6,exotica,0.484,0.422,0,-5.605,1,0.0293,0.932,0.867,0.0841,0.683,105.48,4
