timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1637324165.4168787,1637324180.6461706,"Concerto for Violin & Orchestra in D Major, K.218: III. Allegro ma non troppo",Ryo Terakado,spotify:track:0elrjZcK2C0pOQB8dMiT7g,japanese concert band,0.319,0.0483,2,-24.36,1,0.0453,0.931,0.0535,0.081,0.238,82.066,3
1637324196.954469,1637324212.378217,Unknown,Unknown,spotify:track:1sY7irvG4TIr0g2gyHuZ1y,dong yo,0.446,0.427,8,-5.975,1,0.026,0.653,2.23e-06,0.327,0.823,87.626,3
1637324227.7592044,1637324242.9862447,Borracho y Loco,Preston Garza,spotify:track:0XE54Epzr1g6Aq6QR7aV9O,new mexico music,0.69,0.46,11,-7.307,0,0.0478,0.433,4.39e-06,0.0789,0.598,80.223,4
1637324258.333271,1637324273.5638685,"The Road, The Rocks and the Weeds: Stabal Session - Live",John Mark McMillan,spotify:track:4aM25hBqAgFvX1aFzkX1Bu,christian rock,0.296,0.572,4,-7.802,1,0.0351,0.575,0.00621,0.682,0.355,83.587,4
1637324289.0302,1637324304.1913714,Rock and Roll Thugs,Icon For Hire,spotify:track:22UYBdXRZ7AyOfgkEFNURW,slayer,0.42,0.953,6,-4.669,0,0.294,0.000831,0,0.29,0.359,166.987,4
1637324319.6720345,1637324334.9807835,Bury Your Idols,Hot Water Music,spotify:track:2Cw5dkkkw6c7dOZ7PnqFbT,orgcore,0.483,0.938,4,-3.774,1,0.0485,0.0233,1.17e-06,0.176,0.678,144.852,4
1637324350.3362668,1637324365.6421525,That's the Way Love Is - [Deep House Mix] [Extended Version],Ten City,spotify:track:44Txpta4sxFmw53pOSpuNV,deep deep house,0.703,0.541,7,-18.39,1,0.0469,0.0515,0.274,0.113,0.961,119.732,4
1637324380.897255,1637324396.0523353,Mujeres y Metales,Denilson,spotify:track:0I2FQ0Vh4QXYAFdEpKplal,mexican metal,0.54,0.787,5,-8.272,0,0.215,0.0855,1.11e-05,0.0815,0.402,111.675,5
1637324411.5220988,1637324426.7676868,I'm a Warrior (Live),Rob Rock,spotify:track:5HKC57QiOYGspyCBAUpmrc,christian metal,0.37,0.902,5,-5.005,0,0.0878,0.000194,0.00227,0.964,0.464,134.191,4
1637324442.2564297,1637324457.4688156,Want U Back,Cher Lloyd,spotify:track:2rVBSS7cfDF2ZJF0my4e6j,show tunes,0.696,0.893,9,-2.963,1,0.076,0.0662,0,0.473,0.573,97.954,4
