timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1638871278.1351798,1638871293.340414,Inzerát,Katapult,spotify:track:7a6tjCvmXmgTa5FmaFr3Zf,czech rock,0.433,0.871,9,-7.939,1,0.0688,0.222,0.000531,0.348,0.564,89.845,4
1638871308.780557,1638871323.9883232,I Feel It Coming,The Weeknd,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,canadian punk,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,4
1638871339.3734667,1638871354.5740683,Ain't No Mountain High Enough,Marvin Gaye,spotify:track:7tqhbajSfrz2F7E1Z75ASX,funk,0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,4
1638871369.9316645,1638871385.1482954,No Love (Intro),Kisé,spotify:track:1lG9Nc7WL57ePR0PBOl3wb,magyar,0.67,0.709,10,-6.267,0,0.0393,0.0261,0,0.268,0.412,155.043,4
1638871400.5451503,1638871415.6861632,Hammer Of Doubt,Power Trip,spotify:track:29xwCZqUc6Fr095z24q3co,texas hardcore,0.271,0.973,11,-5.562,1,0.104,2.36e-06,0.896,0.33,0.205,96.027,4
1638871430.9614687,1638871446.2409723,"Nocturnes, Op. 15 (1928): No. 2",Alexander Mosolov,spotify:track:2zOhYGMMvPF6O50NGoNhqZ,early avant garde,0.399,0.0666,6,-19.724,1,0.0479,0.957,0.79,0.0812,0.0693,148.609,4
1638871461.5389316,1638871476.7349398,Missa Octavo Tono,Tomás de Torrejón y Velasco,spotify:track:69kv0yc2vIlmO7w6TrSQLG,spanish baroque,0.21,0.103,6,-17.775,1,0.0498,0.988,9.23e-05,0.0852,0.0888,79.791,4
1638871492.1640115,1638871507.464658,Aan De Amsterdamse Grachten,Draaiorgel De Columbus,spotify:track:0k1B2SBAOCWhdXGoIvXGlx,draaiorgel,0.55,0.234,2,-11.383,1,0.0309,0.812,0.0128,0.0964,0.786,95.631,3
1638871523.0900955,1638871538.3076925,Sleep in the Den (Indie Song 2),LED,spotify:track:0ojtzPPwI81aHe54uMCBIL,idaho indie,0.582,0.656,4,-6.887,0,0.0321,0.644,2.74e-05,0.162,0.329,160.0,4
1638871554.0542212,1638871569.5167167,Pop Off,Jaylon Ashaun,spotify:track:3HHLXheVrANZRA63JogXmn,christian pop,0.786,0.809,7,-5.356,0,0.0413,0.0256,3.26e-06,0.123,0.715,130.009,4
