timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1637701131.9395761,1637701147.143119,Imasara,AKAIKO-EN,spotify:track:583gzQU8B8EAy15D0N0ogb,japanese psychedelic,0.651,0.719,7,-3.164,0,0.0497,0.0762,0,0.102,0.521,130.058,4
1637701162.5420198,1637701177.6941905,Pick Me Up On Your Way Down - Single Version,Charlie Walker,spotify:track:51piaTRq9ywWeNHokbyQzw,honky tonk,0.52,0.317,6,-10.669,1,0.0285,0.794,0,0.112,0.932,153.015,4
1637701192.9546337,1637701208.296028,Minimal Sax - Dgtalsystem & Minimal Law Remix,Davide Dalli Cardillo,spotify:track:3YhemiYSS5nMm1uklKO49K,hard minimal techno,0.805,0.899,8,-8.613,0,0.0831,0.00885,0.873,0.589,0.29,127.999,4
1637701223.651923,1637701238.860932,Robot Technology - Ivan Longoria & Gluska Remix,Ever Tapia,spotify:track:1Ylfv8kUPyyISJ0PbTBcuU,mexican techno,0.784,0.856,6,-7.191,0,0.0718,0.018,0.805,0.0746,0.438,130.012,4
1637701254.1939435,1637701269.3475404,Want It All (feat. Polo G),Burna Boy,spotify:track:45s98gUcOcj5nJeFDNLH2g,dancehall,0.519,0.568,1,-9.551,1,0.155,0.211,1.73e-06,0.0912,0.707,159.988,4
1637701284.665958,1637701299.831375,Aut,Dudek P56,spotify:track:4zrUuqmhNpfRYQE8E2ChaA,polish prog,0.819,0.219,5,-15.645,0,0.778,0.246,3.25e-06,0.125,0.484,84.025,4
1637701315.2474003,1637701330.4691768,"Upper Brinstar (From ""Super Metroid"") [Metal Version]",ToxicxEternity,spotify:track:1JgSACQK5epFTvF3oQpdOf,j metal,0.521,0.972,5,-6.501,1,0.0613,0.00256,0.888,0.107,0.309,134.022,4
1637701345.716428,1637701360.9610903,Music to Unwind To,Ultimate Massage Music Ensemble,spotify:track:64Bntfj3VCxH6YE7b1rV7m,massage,0.361,0.142,5,-14.99,1,0.0311,0.949,0.776,0.109,0.152,101.004,5
1637701376.313512,1637701391.602228,Get Here If You Can,Johnny Logan,spotify:track:0tXs0T2tT13kkV4FCZzDKi,dansktop,0.604,0.363,7,-11.165,1,0.0257,0.788,5.12e-06,0.141,0.2,105.998,4
1637701406.82588,1637701421.970076,Unsteady,Chris Richter,spotify:track:1MbNz157Ri0YvffgfFwS9I,instrumental acoustic guitar,0.559,0.148,11,-20.153,0,0.0972,0.722,0.902,0.0973,0.453,118.5,4
1637701437.288455,1637701452.4336858,Mill O'tifty's Annie,Gordeanna McCulloch,spotify:track:2jb12QB20E2t4MQTI8fn46,bothy ballad,0.507,0.0167,3,-19.185,1,0.2,0.962,0,0.101,0.176,99.565,4
1637701467.7646234,1637701482.9940207,Anne Frank: A Living Voice: 4. Sunshine and Cloudless Sky (Live),Aria Women's Choir,spotify:track:3h7NMdeC5f9JPcWaeBlRzn,women s choir,0.173,0.142,0,-22.27,1,0.0419,0.995,0.571,0.16,0.0449,144.101,4
1637701498.5000997,1637701513.7839503,Introduction and Variations on a German National Air Op.posth. (KK 925-927) - Pt. 7,Frédéric Chopin,spotify:track:19h4K4wUTL7c0j6VWW3XeV,polish classical,0.357,0.16,4,-21.435,1,0.0343,0.99,0.896,0.0855,0.396,98.802,3
1637701529.0960298,1637701544.3251278,"Mass in B Minor, BWV 232: Gloria: Domine Deus (Soprano, Tenor)",Johann Sebastian Bach,spotify:track:3QyhXM4siIqkqha8HpdaFS,classical mezzo soprano,0.325,0.0299,6,-29.059,1,0.0566,0.888,1.37e-05,0.71,0.239,132.73,4
1637701559.6820853,1637701574.912323,Campanas en la Noche,Los Tipitos,spotify:track:7kNjynoBj4q14AJHHBPXF9,alternative pop rock,0.635,0.604,4,-5.153,0,0.0561,0.318,1.89e-05,0.102,0.722,145.976,4
