timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1637350638.0870342,1637350653.239508,Unborn Baby Sounds,Hypnotherapy Birthing,spotify:track:7L88LXfisiScR0n5oIupdA,hypnosis,0.237,0.0707,10,-26.652,1,0.038,0.973,0.93,0.113,0.266,69.506,4
1637350668.8612554,1637350684.0874803,Beauty and the Beast: Home,Alan Menken,spotify:track:0jNV7qEMuhgUICnjPs2pCX,show tunes,0.286,0.275,7,-14.076,1,0.0786,0.988,0.889,0.104,0.185,87.766,4
1637350699.38372,1637350714.5499766,An Indian Summer,Al-Pha-X,spotify:track:4zc83wStdxjmxeEz76TMhf,chill lounge,0.632,0.656,7,-8.969,1,0.0396,0.00224,0.0713,0.516,0.659,107.983,4
1637350729.9785252,1637350745.1355104,You're Easy On The Eyes,Terri Clark,spotify:track:1DGZEJq5SIJn8JkMQ8NKYc,alberta country,0.726,0.844,0,-4.407,1,0.028,0.121,0,0.0729,0.914,126.472,4
1637350760.4216983,1637350775.721888,Invasion Begins,John Powell,spotify:track:7Lcg2OWh9QBR8zG1eidPBX,british invasion,0.26,0.511,8,-14.628,1,0.0591,0.299,0.831,0.644,0.106,74.669,4
1637350791.0943375,1637350806.25733,Mallorquins i Catalans,Tomeu Penya,spotify:track:3ubcAHbRkuw30ryCApSzz2,cantautor catala,0.742,0.658,7,-9.225,1,0.0492,0.401,0,0.124,0.971,130.845,4
1637350821.6406982,1637350836.851562,Tenc Una Gàbia,Jo Se Una Canço... Menorquina,spotify:track:7xbI1nqDhP59gQkOrta5Rw,musica menorquina,0.732,0.461,7,-6.958,1,0.0277,0.88,0,0.0784,0.968,88.034,3
1637350852.1085844,1637350867.3253455,Until the Day I Die,Story Of The Year,spotify:track:16orvl2ETsZhXE6HktzhVR,post post hardcore,0.597,0.931,11,-4.591,0,0.0984,0.127,0,0.0504,0.534,92.003,4
1637350882.6933389,1637350897.8547637,"Viagra, Biff Og Bernaisesaus",Gunslingers,spotify:track:2nr23isQiyBYT1PR1gPvwT,danseband,0.682,0.821,4,-5.43,1,0.0298,0.0799,1.6e-05,0.114,0.745,110.044,4
1637350913.2098925,1637350928.4283292,Stillness of Mind,Aroshanti,spotify:track:0a7bum6Bs6hm3IRy5hliEw,tone,0.126,0.0175,1,-25.17,1,0.0411,0.909,0.927,0.0901,0.0399,76.421,3
1637350943.8885875,1637350959.120735,Etme & Demedim Mi,Serdar Tuncer,spotify:track:6MZDoZZDiCRVcQv6YtPYwB,ilahiler,0.404,0.21,2,-17.424,0,0.0636,0.613,3.59e-05,0.111,0.273,130.492,3
1637350974.4538739,1637350989.638062,The Life And Times Of A Teenage Rock God,Rob Zombie,spotify:track:0xdeIyhlfgOq9BAg3VUr5G,industrial rock,0.565,0.874,2,-3.511,1,0.0755,0.000636,0.000235,0.0709,0.571,95.002,4
