timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1637421701.6296167,1637421716.8857448,Os Exilados,Skank,spotify:track:11KAydkjFh8PPv3JlViEC9,brazilian ska,0.757,0.817,7,-5.99,1,0.0422,0.0311,9.44e-06,0.0499,0.677,94.457,4
1637421732.7869759,1637421748.000544,Slave of Kard - Honurbh Remix,Bruno le Kard,spotify:track:3J0eTiKBdDXYrnmHQF7h3q,italian experimental,0.614,0.948,1,-8.267,0,0.0416,0.0758,0.93,0.343,0.406,135.06,4
1637421763.4602852,1637421778.6907887,Once Upon A Full Moon Night,Meredith d'Ambrosio,spotify:track:56Ax43VRNmPC40qO22jhBN,deep full on,0.421,0.438,7,-14.785,1,0.044,0.435,0.0827,0.0652,0.39,141.54,4
1637421794.0473518,1637421809.2830138,Atmospheric Rain Beat,Lofi Sleep Chill & Study,spotify:track:0QkGaLpEgaLvIFbBQJR9l0,lo fi beats,0.532,0.284,0,-16.429,1,0.0355,0.87,0.967,0.128,0.416,144.076,4
1637421824.6363807,1637421839.8901408,Lapsi ja lintu,Georg Malmstén ja lapset,spotify:track:5J034Uy8qySDuD9kY1AGjx,musiikkia lapsille,0.593,0.169,8,-12.895,1,0.0949,0.965,1.7e-06,0.193,0.428,60.834,4
1637421855.3774977,1637421870.618702,AM 5:21,IHYA,spotify:track:72BJK6xstWtSJ3TY50kyHQ,korean city pop,0.565,0.442,1,-8.528,0,0.0725,0.178,0,0.116,0.232,87.31,4
1637421886.1276143,1637421901.381058,Größer und billiger,Torsten Sträter,spotify:track:5WB62CYGFm9vvdRJBxGjF7,kabarett,0.507,0.857,10,-11.274,0,0.891,0.683,0,0.97,0.434,123.767,5
1637421916.8984926,1637421932.1819048,Kan Ou Donn A Mwin,Kaf Malbar,spotify:track:4mhfzvNlaXV5xC11u7COEf,sega,0.597,0.635,8,-7.705,0,0.0556,0.177,6.75e-05,0.0669,0.872,174.039,4
1637421947.5378199,1637421962.776777,Insensatez,João Gilberto,spotify:track:2Yil9zTL4KAyLPci1BSOr0,samba,0.335,0.21,4,-11.597,0,0.0321,0.791,2.58e-05,0.201,0.107,128.978,4
1637421978.161568,1637421993.4257963,Eva (Hip Hop Chill Step) - Original Mix,Kastor,spotify:track:0hy1T4W9KR1HoUGavcxbPT,finnish hip hop,0.765,0.607,7,-13.012,0,0.0344,0.0804,0.85,0.303,0.225,120.003,4
1637422008.791687,1637422024.0255098,"Berlioz: Roméo et Juliette, Op. 17, H. 79, Pt. 1: I. Introduction, (b) Strophes, ""Premiers transports que nul n'oublie"" (Contralto, Little Chorus)",Hector Berlioz,spotify:track:1YhJl6dKNVk5wB6tyyNkq6,classical contralto,0.271,0.0108,8,-30.684,1,0.0502,0.988,0.00107,0.086,0.07,142.303,4
1637422039.4667263,1637422054.6467102,Upgrade - Love Technology's Vocoder Mix,Art of Silence,spotify:track:2EGIIMJIShJUj3xRLeFsxk,ambient techno,0.563,0.967,1,-14.38,1,0.0416,0.000316,0.724,0.112,0.11,144.995,4
1637422069.9890292,1637422085.236839,The Heart of It All,Mantus,spotify:track:0TycbwAk5dpK7VXDeoTSzC,dark folk,0.486,0.817,9,-5.754,0,0.0311,0.0126,0.0059,0.204,0.43,126.036,4
1637422100.8054752,1637422116.0482445,View Of Wilderness,Brisker & Magitman,spotify:track:5UTXvAO07sVsF6fi31i0i8,israeli techno,0.666,0.815,10,-7.884,0,0.0445,0.000511,0.845,0.0387,0.343,130.014,4
1637422131.408145,1637422146.6704519,Tiempo Y Silencio,Cesária Evora,spotify:track:2OiVXw1ieDk0vxMFzpPaic,twoubadou,0.71,0.364,7,-9.01,0,0.0311,0.854,4.97e-06,0.204,0.444,120.041,4
1637422161.9816477,1637422177.2357986,Luv U More,Paul Elstak,spotify:track:4yW7EvENzT9PbPOJ3rCHzQ,gabba,0.499,0.935,9,-6.667,1,0.0352,0.00396,0.00845,0.128,0.109,167.847,4
1637422192.5677824,1637422207.8280625,"Missa Regina cæli: III, Alleluia",Romuald Twardowski,spotify:track:6IHxkiOw6idjonPCXqgb9f,polish techno,0.224,0.27,11,-16.516,0,0.0415,0.984,0.858,0.0833,0.0378,87.883,4
1637422223.174023,1637422238.3996933,Retrato De Um Forró,Luiz Gonzaga,spotify:track:0933WtNwxj2D0CvFzTMj2t,baiao,0.673,0.958,7,-7.342,0,0.0544,0.344,0.00022,0.211,0.943,96.012,4
1637422253.8153365,1637422269.0717587,Unknown,Unknown,spotify:track:3Kx5nv9q5mmFrzXbTJXWWy,polish trap,0.768,0.794,2,-4.531,0,0.119,0.251,0,0.109,0.472,136.117,4
1637422284.462029,1637422299.6806684,Il Popolo Rock,Tazenda,spotify:track:1XzFjWtW2gGVnS7ONNSQ1r,italian pop rock,0.372,0.607,7,-9.269,1,0.0723,0.00557,5.84e-05,0.0997,0.343,123.87,4
1637422315.0178158,1637422330.2807872,Untitled,Dino,spotify:track:2l4gpn5WqT12W6j0HqYoSU,chinese experimental,0.274,0.945,10,-1.632,0,0.347,0.0105,0.0395,0.0921,0.0377,108.994,3
1637422345.6105328,1637422360.8457053,"Tiempo en Inglés (Unidades, Hora del Día, Preguntar y Decir la Hora)",Alberto J,spotify:track:36WKKA2zyx2KC6OoeMg3sv,guidance,0.583,0.43,1,-16.441,1,0.444,0.498,0,0.0332,0.538,217.33,5
1637422376.180886,1637422391.475516,ODeath,Aesma Daeva,spotify:track:0ulRnDWHA6iGv0AZNVWVnV,gothic symphonic metal,0.625,0.582,9,-11.615,0,0.0388,0.174,0.00741,0.0898,0.0368,130.005,4
1637422406.8088524,1637422422.0269299,Taste of Tears (Refix),D-Ceptor,spotify:track:0NqSR0SzfrPNtIzu5dxVf8,gabba,0.506,0.965,7,-2.424,1,0.0605,0.0451,0.307,0.139,0.35,177.034,4
1637422437.3457513,1637422452.5801733,Qwerty Enchanted The House and Now It's Attacking Us,In Love With a Ghost,spotify:track:75imPZaXVxdqNVnRV44KsK,bass house,0.807,0.581,11,-12.349,0,0.144,0.687,0.888,0.0955,0.73,129.969,4
1637422468.0514948,1637422483.3294926,Eve Of Destruction,Barry McGuire,spotify:track:64Pkw4cvcREc3lQwU6rREp,rock viet,0.586,0.466,2,-11.822,1,0.045,0.355,0,0.0874,0.77,117.591,4
1637422498.820641,1637422514.1445048,O Mundo é uma Bola,Neguinho Da Beija Flor,spotify:track:6EKbU7G0dNLQu8JN6OCTko,samba enredo,0.552,0.775,2,-14.305,1,0.073,0.331,0.000567,0.0348,0.967,132.742,4
1637422529.6553426,1637422544.8954823,Up and Down,Niki Koukoulari,spotify:track:41iEJu6rhERyk4ORb0U9lE,nisiotika,0.453,0.597,7,-9.276,0,0.0566,0.805,1.34e-05,0.134,0.923,166.004,4
