timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1637344108.7784972,1637344124.0268872,Consecrated and Consumed,Of Feather And Bone,spotify:track:5OFFImGsOPeg59u0df2YU8,voidgrind,0.0739,0.996,10,-4.542,1,0.106,3.17e-06,0.599,0.0328,0.0232,176.288,4
1637344139.4359992,1637344154.611847,Ulrikas Dans,Arild Andersen,spotify:track:7l2QhRG580LEeTftZ4CLVJ,swedish jazz,0.319,0.253,7,-19.364,1,0.0432,0.739,0.827,0.689,0.328,98.533,3
1637344169.9492383,1637344185.1126876,Story of an Artist,Daniel Johnston,spotify:track:41mErQhqRBmHD41YhChsUB,outsider,0.415,0.313,2,-11.147,0,0.0415,0.986,0.264,0.323,0.687,108.08,4
1637344200.4327538,1637344215.7560484,Boy You´re Alright,Tupelo Honeys,spotify:track:148O5WxdDB8vGsgH0YMX51,svensk indie,0.522,0.881,4,-2.392,1,0.0384,0.0582,0.000546,0.241,0.49,95.528,4
1637344231.7782562,1637344246.9598255,Umipnai Chatuainu,Alter Yechiel Karniol,spotify:track:6z19giqEJVhD0eSZpkuZli,jewish cantorial,0.247,0.246,11,-12.867,1,0.0491,0.972,0,0.164,0.131,108.999,3
1637344263.2442725,1637344278.4389372,Unkind and Unwise - Live at the Town and Country Club,The Go-Betweens,spotify:track:0kMHF27lWez7LCYuVRdtq2,australian country,0.408,0.851,7,-7.824,1,0.0666,0.0626,0.0121,0.74,0.633,139.7,3
1637344293.7419488,1637344308.945613,Me and Bobby Mcgee,Gordon Lightfoot,spotify:track:2GqdY4hcw56dBX8M6qtT8L,classic uk pop,0.692,0.224,4,-16.513,1,0.0356,0.828,0.054,0.0479,0.484,87.434,4
1637344324.5708907,1637344339.9026542,Sama'i Nawa Athar,Hicham Chami,spotify:track:1Q1G3Ck6EYoK5jBcXwUxZJ,turkish classical,0.675,0.397,7,-14.502,1,0.0407,0.917,0.866,0.208,0.682,110.189,5
1637344356.0766666,1637344371.218895,Raised On Rock,Blindside Blues Band,spotify:track:0ac8z77CmJqcrn5On7M9Cx,power blues rock,0.227,0.798,2,-5.839,0,0.0526,0.000744,0.0024,0.85,0.539,135.665,4
1637344386.9112864,1637344402.0532618,A Man And The Blues,Buddy Guy,spotify:track:5vbw9boDHRHLZiv90e2ZVx,modern blues,0.504,0.212,0,-16.756,1,0.0408,0.893,0.22,0.0817,0.233,108.629,4
1637344418.1635778,1637344433.301985,Show of Force,Galaxian,spotify:track:5Q6q43ZYVd11aWPNzQ3mEW,scottish electronic,0.621,0.852,6,-10.791,0,0.0705,0.00192,0.881,0.126,0.324,74.998,3
1637344449.6799412,1637344464.829532,Loputon Blues - Mess of Blues,Topi Sorsakoski,spotify:track:0VvgBpLlNgGHYNiLqPKsoS,finnish blues,0.691,0.564,0,-5.82,1,0.0373,0.147,0,0.32,0.841,108.335,4
1637344480.075758,1637344495.2430022,"Corroboree, Suite from the Ballet: III. A Rain Dance",John Antill,spotify:track:4h1IWSB93ayyjTRMmGtQXi,australian classical,0.259,0.319,0,-19.079,1,0.0839,0.788,0.00272,0.0747,0.0924,172.876,4
