,HR,timestamp
1,58.0,1637666310.0
2,65.5,1637666311.0
3,60.0,1637666312.0
4,57.5,1637666313.0
5,56.0,1637666314.0
6,55.17,1637666315.0
7,55.0,1637666316.0
8,55.0,1637666317.0
9,55.0,1637666318.0
10,55.1,1637666319.0
11,55.09,1637666320.0
12,55.08,1637666321.0
13,55.08,1637666322.0
14,55.07,1637666323.0
15,55.07,1637666324.0
16,55.0,1637666325.0
17,55.0,1637666326.0
18,55.0,1637666327.0
19,54.95,1637666328.0
20,54.9,1637666329.0
21,54.81,1637666330.0
22,54.73,1637666331.0
23,54.52,1637666332.0
24,54.58,1637666333.0
25,54.48,1637666334.0
26,54.27,1637666335.0
27,54.07,1637666336.0
28,53.82,1637666337.0
29,53.59,1637666338.0
30,53.37,1637666339.0
31,53.16,1637666340.0
32,53.12,1637666341.0
33,53.12,1637666342.0
34,53.12,1637666343.0
35,53.2,1637666344.0
36,53.31,1637666345.0
37,53.41,1637666346.0
38,53.5,1637666347.0
39,53.59,1637666348.0
40,53.67,1637666349.0
41,53.76,1637666350.0
42,53.81,1637666351.0
43,53.86,1637666352.0
44,53.91,1637666353.0
45,53.98,1637666354.0
46,54.04,1637666355.0
47,54.13,1637666356.0
48,54.25,1637666357.0
49,54.37,1637666358.0
50,54.48,1637666359.0
51,54.61,1637666360.0
52,54.75,1637666361.0
53,54.92,1637666362.0
54,55.11,1637666363.0
55,55.29,1637666364.0
56,55.46,1637666365.0
57,55.61,1637666366.0
58,55.76,1637666367.0
59,55.95,1637666368.0
60,55.98,1637666369.0
61,56.0,1637666370.0
62,55.77,1637666371.0
63,55.95,1637666372.0
64,56.12,1637666373.0
65,56.28,1637666374.0
66,56.43,1637666375.0
67,56.53,1637666376.0
68,56.77,1637666377.0
69,57.02,1637666378.0
70,57.25,1637666379.0
71,57.58,1637666380.0
72,57.93,1637666381.0
73,58.3,1637666382.0
74,58.65,1637666383.0
75,58.98,1637666384.0
76,59.38,1637666385.0
77,59.77,1637666386.0
78,60.13,1637666387.0
79,60.57,1637666388.0
80,60.98,1637666389.0
81,61.47,1637666390.0
82,61.97,1637666391.0
83,62.42,1637666392.0
84,62.78,1637666393.0
85,63.25,1637666394.0
86,63.73,1637666395.0
87,64.22,1637666396.0
88,64.75,1637666397.0
89,65.28,1637666398.0
90,65.83,1637666399.0
91,66.4,1637666400.0
92,66.88,1637666401.0
93,67.33,1637666402.0
94,67.78,1637666403.0
95,68.17,1637666404.0
96,68.45,1637666405.0
97,68.72,1637666406.0
98,68.95,1637666407.0
99,69.2,1637666408.0
100,69.43,1637666409.0
101,69.65,1637666410.0
102,69.82,1637666411.0
103,69.92,1637666412.0
104,70.03,1637666413.0
105,70.12,1637666414.0
106,70.2,1637666415.0
107,70.25,1637666416.0
108,70.25,1637666417.0
109,70.22,1637666418.0
110,70.18,1637666419.0
111,70.13,1637666420.0
112,70.05,1637666421.0
113,69.93,1637666422.0
114,69.8,1637666423.0
115,69.68,1637666424.0
116,69.55,1637666425.0
117,69.45,1637666426.0
118,69.37,1637666427.0
119,69.25,1637666428.0
120,69.32,1637666429.0
121,69.35,1637666430.0
122,69.4,1637666431.0
123,69.45,1637666432.0
124,69.5,1637666433.0
125,69.57,1637666434.0
126,69.62,1637666435.0
127,69.68,1637666436.0
128,69.6,1637666437.0
129,69.5,1637666438.0
130,69.4,1637666439.0
131,69.18,1637666440.0
132,68.92,1637666441.0
133,68.63,1637666442.0
134,68.35,1637666443.0
135,68.08,1637666444.0
136,67.75,1637666445.0
137,67.4,1637666446.0
138,67.07,1637666447.0
139,66.68,1637666448.0
