,TEMP,timestamp
1,29.99,1637421546.0
2,29.99,1637421546.25
3,29.99,1637421546.5
4,29.99,1637421546.75
5,29.99,1637421547.0
6,29.99,1637421547.25
7,29.99,1637421547.5
8,29.99,1637421547.75
9,30.03,1637421548.0
10,30.03,1637421548.25
11,30.03,1637421548.5
12,30.03,1637421548.75
13,30.05,1637421549.0
14,30.05,1637421549.25
15,30.05,1637421549.5
16,30.05,1637421549.75
17,30.05,1637421550.0
18,30.05,1637421550.25
19,30.05,1637421550.5
20,30.05,1637421550.75
21,30.07,1637421551.0
22,30.07,1637421551.25
23,30.07,1637421551.5
24,30.07,1637421551.75
25,30.05,1637421552.0
26,30.05,1637421552.25
27,30.05,1637421552.5
28,30.05,1637421552.75
29,30.07,1637421553.0
30,30.07,1637421553.25
31,30.07,1637421553.5
32,30.07,1637421553.75
33,30.09,1637421554.0
34,30.09,1637421554.25
35,30.09,1637421554.5
36,30.09,1637421554.75
37,30.07,1637421555.0
38,30.07,1637421555.25
39,30.07,1637421555.5
40,30.07,1637421555.75
41,30.09,1637421556.0
42,30.09,1637421556.25
43,30.09,1637421556.5
44,30.09,1637421556.75
45,30.09,1637421557.0
46,30.09,1637421557.25
47,30.09,1637421557.5
48,30.09,1637421557.75
49,30.11,1637421558.0
50,30.11,1637421558.25
51,30.11,1637421558.5
52,30.11,1637421558.75
53,30.13,1637421559.0
54,30.13,1637421559.25
55,30.13,1637421559.5
56,30.13,1637421559.75
57,30.11,1637421560.0
58,30.11,1637421560.25
59,30.11,1637421560.5
60,30.11,1637421560.75
61,30.13,1637421561.0
62,30.13,1637421561.25
63,30.13,1637421561.5
64,30.13,1637421561.75
65,30.13,1637421562.0
66,30.13,1637421562.25
67,30.13,1637421562.5
68,30.13,1637421562.75
69,30.11,1637421563.0
70,30.11,1637421563.25
71,30.11,1637421563.5
72,30.11,1637421563.75
73,30.13,1637421564.0
74,30.13,1637421564.25
75,30.13,1637421564.5
76,30.13,1637421564.75
77,30.13,1637421565.0
78,30.13,1637421565.25
79,30.13,1637421565.5
80,30.13,1637421565.75
81,30.13,1637421566.0
82,30.13,1637421566.25
83,30.13,1637421566.5
84,30.13,1637421566.75
85,30.15,1637421567.0
86,30.15,1637421567.25
87,30.15,1637421567.5
88,30.15,1637421567.75
89,30.15,1637421568.0
90,30.15,1637421568.25
91,30.15,1637421568.5
92,30.15,1637421568.75
93,30.17,1637421569.0
94,30.17,1637421569.25
95,30.17,1637421569.5
96,30.17,1637421569.75
97,30.15,1637421570.0
98,30.15,1637421570.25
99,30.15,1637421570.5
100,30.15,1637421570.75
101,30.15,1637421571.0
102,30.15,1637421571.25
103,30.15,1637421571.5
104,30.15,1637421571.75
105,30.15,1637421572.0
106,30.15,1637421572.25
107,30.15,1637421572.5
108,30.15,1637421572.75
109,30.19,1637421573.0
110,30.19,1637421573.25
111,30.19,1637421573.5
112,30.19,1637421573.75
113,30.19,1637421574.0
114,30.19,1637421574.25
115,30.19,1637421574.5
116,30.19,1637421574.75
117,30.15,1637421575.0
118,30.15,1637421575.25
119,30.15,1637421575.5
120,30.15,1637421575.75
121,30.17,1637421576.0
122,30.17,1637421576.25
123,30.17,1637421576.5
124,30.17,1637421576.75
125,30.17,1637421577.0
126,30.17,1637421577.25
127,30.17,1637421577.5
128,30.17,1637421577.75
129,30.19,1637421578.0
130,30.19,1637421578.25
131,30.19,1637421578.5
132,30.19,1637421578.75
133,30.19,1637421579.0
134,30.19,1637421579.25
135,30.19,1637421579.5
136,30.19,1637421579.75
137,30.19,1637421580.0
138,30.19,1637421580.25
139,30.19,1637421580.5
140,30.19,1637421580.75
141,30.19,1637421581.0
142,30.19,1637421581.25
143,30.19,1637421581.5
144,30.19,1637421581.75
145,30.19,1637421582.0
146,30.19,1637421582.25
147,30.19,1637421582.5
148,30.19,1637421582.75
149,30.19,1637421583.0
150,30.19,1637421583.25
151,30.19,1637421583.5
152,30.19,1637421583.75
153,30.17,1637421584.0
154,30.17,1637421584.25
155,30.17,1637421584.5
156,30.17,1637421584.75
157,30.19,1637421585.0
158,30.19,1637421585.25
159,30.19,1637421585.5
160,30.19,1637421585.75
161,30.19,1637421586.0
162,30.19,1637421586.25
163,30.19,1637421586.5
164,30.19,1637421586.75
165,30.19,1637421587.0
166,30.19,1637421587.25
167,30.19,1637421587.5
168,30.19,1637421587.75
169,30.19,1637421588.0
170,30.19,1637421588.25
171,30.19,1637421588.5
172,30.19,1637421588.75
173,30.19,1637421589.0
174,30.19,1637421589.25
175,30.19,1637421589.5
176,30.19,1637421589.75
177,30.21,1637421590.0
178,30.21,1637421590.25
179,30.21,1637421590.5
180,30.21,1637421590.75
181,30.21,1637421591.0
182,30.21,1637421591.25
183,30.21,1637421591.5
184,30.21,1637421591.75
185,30.19,1637421592.0
186,30.19,1637421592.25
187,30.19,1637421592.5
188,30.19,1637421592.75
189,30.21,1637421593.0
190,30.21,1637421593.25
191,30.21,1637421593.5
192,30.21,1637421593.75
193,30.19,1637421594.0
194,30.19,1637421594.25
195,30.19,1637421594.5
196,30.19,1637421594.75
197,30.19,1637421595.0
198,30.19,1637421595.25
199,30.19,1637421595.5
200,30.19,1637421595.75
201,30.19,1637421596.0
202,30.19,1637421596.25
203,30.19,1637421596.5
204,30.19,1637421596.75
205,30.17,1637421597.0
206,30.17,1637421597.25
207,30.17,1637421597.5
208,30.17,1637421597.75
209,30.17,1637421598.0
210,30.17,1637421598.25
211,30.17,1637421598.5
212,30.17,1637421598.75
213,30.15,1637421599.0
214,30.15,1637421599.25
