,BVP,timestamp
1,-0.0,1637349351.0
2,-0.0,1637349351.015625
3,-0.0,1637349351.03125
4,-0.0,1637349351.046875
5,-0.0,1637349351.0625
6,-0.0,1637349351.078125
7,-0.0,1637349351.09375
8,-0.0,1637349351.109375
9,-0.0,1637349351.125
10,-0.0,1637349351.140625
11,0.0,1637349351.15625
12,0.01,1637349351.171875
13,0.01,1637349351.1875
14,-0.0,1637349351.203125
15,-0.03,1637349351.21875
16,-0.05,1637349351.234375
17,-0.05,1637349351.25
18,0.0,1637349351.265625
19,0.13,1637349351.28125
20,0.36,1637349351.296875
21,0.66,1637349351.3125
22,1.01,1637349351.328125
23,1.37,1637349351.34375
24,1.72,1637349351.359375
25,2.06,1637349351.375
26,2.4,1637349351.390625
27,2.79,1637349351.40625
28,3.24,1637349351.421875
29,3.8,1637349351.4375
30,4.42,1637349351.453125
31,5.06,1637349351.46875
32,5.66,1637349351.484375
33,6.2,1637349351.5
34,6.68,1637349351.515625
35,7.15,1637349351.53125
36,7.68,1637349351.546875
37,8.31,1637349351.5625
38,9.14,1637349351.578125
39,10.09,1637349351.59375
40,11.04,1637349351.609375
41,11.88,1637349351.625
42,12.56,1637349351.640625
43,13.14,1637349351.65625
44,13.76,1637349351.671875
45,14.65,1637349351.6875
46,15.96,1637349351.703125
47,17.91,1637349351.71875
48,20.32,1637349351.734375
49,22.9,1637349351.75
50,25.38,1637349351.765625
51,27.58,1637349351.78125
52,29.57,1637349351.796875
53,31.68,1637349351.8125
54,34.32,1637349351.828125
55,37.81,1637349351.84375
56,42.54,1637349351.859375
57,48.15,1637349351.875
58,54.1,1637349351.890625
59,59.83,1637349351.90625
60,64.97,1637349351.921875
61,69.58,1637349351.9375
62,74.14,1637349351.953125
63,79.34,1637349351.96875
64,85.71,1637349351.984375
65,93.76,1637349352.0
66,103.0,1637349352.015625
67,112.62,1637349352.03125
68,121.73,1637349352.046875
69,129.77,1637349352.0625
70,136.75,1637349352.078125
71,143.3,1637349352.09375
72,150.75,1637349352.109375
73,157.77,1637349352.125
74,166.64,1637349352.140625
75,177.95,1637349352.15625
76,191.79,1637349352.171875
77,206.97,1637349352.1875
78,220.57,1637349352.203125
79,228.25,1637349352.21875
80,225.36,1637349352.234375
81,208.53,1637349352.25
82,176.87,1637349352.265625
83,132.76,1637349352.28125
84,80.05,1637349352.296875
85,23.07,1637349352.3125
86,-34.94,1637349352.328125
87,-92.44,1637349352.34375
88,-149.16,1637349352.359375
